veh,nRIDES,nREJECTED,DRIVING_TIME,DRIVING_DIST,COMMISSION,REVENUE,COST,NET_INCOME,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,worked_days,experienced,perc_income,learned,util_d,util_nd,prob_d,drive_decision,day
14,9.0,0.0,6019.0,60.19,6.4531600000000005,58.07844,15.0475,43.03094,False,0,648.0,135.0,180.0,0,2120.0,0,0.0,270.0,3899.0,14347.0,0,0,0,0,0,1,False,33.72968511892248,False,3.3729685118922483,2.716668047568993,0.6584288500938322,out,3
15,15.0,0.0,6278.0,62.78,7.45276,67.07484,15.695,51.379839999999994,False,0,387.0,150.0,191.0,0,2204.0,0,9.0,450.0,4074.0,14134.0,0,0,0,0,0,2,False,45.78900666858952,False,4.578900666858952,2.927294001153708,0.83910807766734,drive,3
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,21.952179450450743,False,2.195217945045074,4.390435890090148,0.1001807419185836,out,3
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,False,52.76495110001742,False,5.2764951100017425,7.543338440006969,0.09390646300373576,out,3
18,15.0,0.0,6544.0,65.44,8.198680000000001,73.78812,16.36,57.42812000000001,False,0,0.0,165.0,240.0,0,2155.0,0,0.0,450.0,4389.0,14200.0,0,0,0,0,0,2,False,48.423327278939425,False,4.842332727893943,4.64304836736365,0.5496568583738617,drive,3
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,33.044904359914675,False,3.3044904359914677,5.281818871982935,0.12160391639386581,out,3
20,20.0,0.0,7956.0,79.56,9.563119999999998,86.06807999999998,19.89,66.17807999999998,False,0,70.0,225.0,300.0,0,3033.0,0,0.0,600.0,4923.0,12448.0,0,0,0,0,0,3,False,55.51285368812981,False,5.551285368812981,3.3633369505038475,0.8991620424853412,drive,3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,False,49.798102069339095,False,4.97981020693391,5.132956827735639,0.46178800061607705,out,4
2,11.0,0.0,6161.0,61.61,6.18702,55.68318,15.4025,40.280680000000004,False,0,401.0,165.0,220.0,0,2536.0,0,0.0,330.0,3625.0,14322.0,0,0,0,0,0,1,False,35.38820778995698,False,3.538820778995698,2.9518691159827917,0.6426654103798645,drive,4
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,False,44.334594528008694,False,4.43345945280087,3.748193622406953,0.6649129610016302,drive,4
